,structure__s_net__module__n_layers,structure__s_net__module__hidden_size,text__text_net__module__n_layers,text__text_net__module__hidden_size,score
0,1.0,10.0,3.0,30.0,0.9517532528535864
1,3.0,30.0,2.0,30.0,0.9665232044717929
2,3.0,10.0,1.0,30.0,0.9656894405561558
3,3.0,20.0,3.0,30.0,0.9615910799004181
