,feature_selection__k,classification__module__hidden_layer_sizes,classification__module__dropout,x_test_fitter__active,score
0,10000,"(10, 6)",0.15,1,0.9991007194244604
1,10000,"(10, 6)",0.15,1,0.9991007194244604
2,5000,"(10, 6)",0.2,1,0.9991007194244604
3,5000,"(6, 10)",0.1,0,0.9989344960202051
4,10000,"(6, 6)",0.2,1,0.9991007194244604
5,5000,"(6, 10)",0.1,0,0.9989344960202051
6,10000,"(10, 10)",0.2,0,0.9991007194244604
7,10000,"(6, 10)",0.2,0,0.9991007194244604
